# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=N; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
665.662293,7.0460901588e+09
666.328288,7.8987282703e+09
666.994950,7.8507579494e+09
667.662279,7.0423056119e+09
668.330275,7.0446529562e+09
668.998939,7.0671293676e+09
669.668273,7.0490238359e+09
670.338276,8.0549122371e+09
671.008950,7.1890298082e+09
671.680294,7.2296998720e+09
672.352310,7.4152539349e+09
673.024999,7.1599875772e+09
673.698361,7.0679732862e+09
674.372396,8.0802434660e+09
675.047106,7.1101762710e+09
675.722490,7.0703440356e+09
676.398551,7.0813320160e+09
677.075288,7.0871769509e+09
677.752702,7.1035658081e+09
678.430793,7.3695715442e+09
679.109564,7.5042901521e+09
679.789013,7.0673892814e+09
680.469142,7.2170818182e+09
681.149951,7.1253619156e+09
681.831442,7.2998514767e+09
682.513614,7.1495064941e+09
683.196469,2.8753697858e+10
683.880008,2.2886304654e+10
684.564230,1.0845511274e+10
